Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2009-11-03,2.49,2.92,2.49,2.92,417700.0,0.0,1.0,24.9,29.2,24.9,29.2,41770.0
2009-11-02,2.45,2.6,2.44,2.51,274100.0,0.0,1.0,24.5,26.0,24.4,25.1,27410.0
2009-10-30,2.22,2.55,2.22,2.36,1178300.0,0.0,1.0,22.200000000000006,25.5,22.200000000000006,23.6,117830.0
2009-10-29,2.39,2.39,2.19,2.19,153300.0,0.0,1.0,23.9,23.9,21.9,21.9,15330.0
2009-10-28,2.49,2.5,2.2,2.38,178300.0,0.0,1.0,24.9,25.0,22.0,23.8,17830.0
2009-10-27,2.42,2.42,2.36,2.39,14800.0,0.0,1.0,24.2,24.2,23.6,23.9,1480.0
2009-10-26,2.4,2.46,2.38,2.4,30100.0,0.0,1.0,24.0,24.6,23.8,24.0,3010.0
2009-10-23,2.4352,2.46,2.3503,2.38,63300.0,0.0,1.0,24.351999999999997,24.6,23.503,23.8,6330.0
2009-10-22,2.44,2.47,2.43,2.45,57800.0,0.0,1.0,24.4,24.700000000000006,24.3,24.5,5780.0
2009-10-21,2.48,2.48,2.441,2.46,28700.0,0.0,1.0,24.8,24.8,24.41,24.6,2870.0
2009-10-20,2.45,2.49,2.44,2.46,38700.0,0.0,1.0,24.5,24.9,24.4,24.6,3870.0
2009-10-19,2.5,2.55,2.49,2.5,50500.0,0.0,1.0,25.0,25.5,24.9,25.0,5050.0
2009-10-16,2.51,2.5599,2.49,2.55,53700.0,0.0,1.0,25.1,25.599,24.9,25.5,5370.0
2009-10-15,2.5,2.58,2.5,2.55,71600.0,0.0,1.0,25.0,25.8,25.0,25.5,7160.0
2009-10-14,2.49,2.54,2.46,2.5,31700.0,0.0,1.0,24.9,25.4,24.6,25.0,3170.0
2009-10-13,2.42,2.56,2.42,2.51,22400.0,0.0,1.0,24.2,25.6,24.2,25.1,2240.0
2009-10-12,2.53,2.5895,2.5,2.55,19500.0,0.0,1.0,25.3,25.895000000000003,25.0,25.5,1950.0
2009-10-09,2.54,2.54,2.45,2.4999,20500.0,0.0,1.0,25.4,25.4,24.5,24.999000000000002,2050.0
2009-10-08,2.46,2.55,2.46,2.53,8800.0,0.0,1.0,24.6,25.5,24.6,25.3,880.0
2009-10-07,2.51,2.53,2.49,2.519,18400.0,0.0,1.0,25.1,25.3,24.9,25.19,1840.0
2009-10-06,2.42,2.53,2.42,2.53,30600.0,0.0,1.0,24.2,25.3,24.2,25.3,3060.0
2009-10-05,2.5,2.51,2.5,2.51,9700.0,0.0,1.0,25.0,25.1,25.0,25.1,970.0
2009-10-02,2.52,2.5201,2.49,2.49,25000.0,0.0,1.0,25.2,25.201,24.9,24.9,2500.0
2009-10-01,2.52,2.59,2.49,2.49,17300.0,0.0,1.0,25.2,25.9,24.9,24.9,1730.0
2009-09-30,2.57,2.589,2.49,2.5,48500.0,0.0,1.0,25.7,25.89,24.9,25.0,4850.0
2009-09-29,2.53,2.56,2.44,2.5,68800.0,0.0,1.0,25.3,25.6,24.4,25.0,6880.0
2009-09-28,2.55,2.55,2.47,2.51,16700.0,0.0,1.0,25.5,25.5,24.700000000000006,25.1,1670.0
2009-09-25,2.5501,2.5501,2.45,2.49,70700.0,0.0,1.0,25.500999999999998,25.500999999999998,24.5,24.9,7070.0
2009-09-24,2.47,2.56,2.47,2.54,22400.0,0.0,1.0,24.700000000000006,25.6,24.700000000000006,25.4,2240.0
2009-09-23,2.58,2.6,2.54,2.55,50000.0,0.0,1.0,25.8,26.0,25.4,25.5,5000.0
2009-09-22,2.5701,2.66,2.53,2.6,76700.0,0.0,1.0,25.701,26.6,25.3,26.0,7670.0
2009-09-21,2.56,2.64,2.51,2.53,15700.0,0.0,1.0,25.6,26.4,25.1,25.3,1570.0
2009-09-18,2.74,2.74,2.5,2.59,68100.0,0.0,1.0,27.4,27.4,25.0,25.9,6810.0
2009-09-17,2.51,2.75,2.5,2.75,38600.0,0.0,1.0,25.1,27.5,25.0,27.5,3860.0
2009-09-16,2.51,2.6,2.51,2.51,39800.0,0.0,1.0,25.1,26.0,25.1,25.1,3980.0
2009-09-15,2.52,2.5501,2.51,2.5306,15200.0,0.0,1.0,25.2,25.500999999999998,25.1,25.305999999999997,1520.0
2009-09-14,2.48,2.56,2.38,2.56,6400.0,0.0,1.0,24.8,25.6,23.8,25.6,640.0
2009-09-11,2.5,2.52,2.49,2.5,19000.0,0.0,1.0,25.0,25.2,24.9,25.0,1900.0
2009-09-10,2.54,2.6,2.36,2.48,22900.0,0.0,1.0,25.4,26.0,23.6,24.8,2290.0
2009-09-09,2.55,2.6,2.4,2.47,29100.0,0.0,1.0,25.5,26.0,24.0,24.700000000000006,2910.0
2009-09-08,2.43,2.58,2.43,2.5101,18100.0,0.0,1.0,24.3,25.8,24.3,25.101,1810.0
2009-09-04,2.46,2.49,2.45,2.46,16100.0,0.0,1.0,24.6,24.9,24.5,24.6,1610.0
2009-09-03,2.5599,2.5599,2.31,2.47,11700.0,0.0,1.0,25.599,25.599,23.1,24.700000000000006,1170.0
2009-09-02,2.29,2.41,2.29,2.4,72900.0,0.0,1.0,22.9,24.1,22.9,24.0,7290.0
2009-09-01,2.45,2.45,2.3184,2.35,16900.0,0.0,1.0,24.5,24.5,23.184,23.5,1690.0
2009-08-31,2.38,2.48,2.35,2.48,67700.0,0.0,1.0,23.8,24.8,23.5,24.8,6770.0
2009-08-28,2.39,2.5299,2.32,2.46,149600.0,0.0,1.0,23.9,25.299,23.2,24.6,14960.0
2009-08-27,2.2,2.3,2.2,2.26,6800.0,0.0,1.0,22.0,23.0,22.0,22.6,680.0
2009-08-26,2.34,2.44,2.25,2.25,15200.0,0.0,1.0,23.4,24.4,22.5,22.5,1520.0
2009-08-25,2.35,2.39,2.3335,2.38,58200.0,0.0,1.0,23.5,23.9,23.335,23.8,5820.0
2009-08-24,2.15,2.32,2.15,2.32,27000.0,0.0,1.0,21.5,23.2,21.5,23.2,2700.0
2009-08-21,2.05,2.15,2.04,2.11,36800.0,0.0,1.0,20.5,21.5,20.4,21.1,3680.0
2009-08-20,2.0,2.05,1.99,2.02,22800.0,0.0,1.0,20.0,20.5,19.9,20.2,2280.0
2009-08-19,2.02,2.1,1.99,1.99,34700.0,0.0,1.0,20.2,21.0,19.9,19.9,3470.0
2009-08-18,1.96,1.99,1.96,1.99,13600.0,0.0,1.0,19.6,19.9,19.6,19.9,1360.0
2009-08-17,2.0,2.03,1.95,1.99,41700.0,0.0,1.0,20.0,20.3,19.5,19.9,4170.0
2009-08-14,2.0,2.1,1.986,1.9980000000000002,21700.0,0.0,1.0,20.0,21.0,19.86,19.98,2170.0
2009-08-13,2.02,2.03,2.0,2.0,17000.0,0.0,1.0,20.2,20.3,20.0,20.0,1700.0
2009-08-12,2.11,2.11,1.9648,2.03,10100.0,0.0,1.0,21.1,21.1,19.648,20.3,1010.0
2009-08-11,2.11,2.13,1.95,2.08,70800.0,0.0,1.0,21.1,21.3,19.5,20.8,7080.0
2009-08-10,2.1,2.108,2.04,2.05,18500.0,0.0,1.0,21.0,21.08,20.4,20.5,1850.0
2009-08-07,2.1,2.11,2.03,2.03,15300.0,0.0,1.0,21.0,21.1,20.3,20.3,1530.0
2009-08-06,2.31,2.31,1.95,2.13,82100.0,0.0,1.0,23.1,23.1,19.5,21.3,8210.0
2009-08-05,1.69,2.6139,1.685,2.24,70600.0,0.0,1.0,16.9,26.139000000000006,16.85,22.4,7060.0
2009-08-04,1.6999,1.74,1.66,1.66,13200.0,0.0,1.0,16.999000000000002,17.4,16.599999999999998,16.599999999999998,1320.0
2009-08-03,1.65,1.71,1.6301,1.71,43500.0,0.0,1.0,16.5,17.1,16.301000000000002,17.1,4350.0
2009-07-31,1.58,1.6206,1.55,1.62,16600.0,0.0,1.0,15.8,16.206,15.5,16.200000000000006,1660.0
2009-07-30,1.58,1.66,1.56,1.61,2800.0,0.0,1.0,15.8,16.599999999999998,15.6,16.1,280.0
2009-07-29,1.66,1.66,1.56,1.61,10600.0,0.0,1.0,16.599999999999998,16.599999999999998,15.6,16.1,1060.0
2009-07-28,1.65,1.68,1.65,1.68,9800.0,0.0,1.0,16.5,16.8,16.5,16.8,980.0
2009-07-27,1.62,1.655,1.61,1.65,2300.0,0.0,1.0,16.200000000000006,16.55,16.1,16.5,230.0
2009-07-24,1.61,1.68,1.56,1.68,7800.0,0.0,1.0,16.1,16.8,15.6,16.8,780.0
2009-07-23,1.6,1.69,1.55,1.65,11000.0,0.0,1.0,16.0,16.9,15.5,16.5,1100.0
2009-07-22,1.61,1.68,1.59,1.65,9800.0,0.0,1.0,16.1,16.8,15.9,16.5,980.0
2009-07-21,1.61,1.64,1.55,1.56,37100.0,0.0,1.0,16.1,16.4,15.5,15.6,3710.0
2009-07-20,1.62,1.65,1.62,1.64,62000.0,0.0,1.0,16.200000000000006,16.5,16.200000000000006,16.4,6200.0
2009-07-17,1.67,1.67,1.62,1.62,5700.0,0.0,1.0,16.7,16.7,16.200000000000006,16.200000000000006,570.0
2009-07-16,1.59,1.68,1.55,1.65,4500.0,0.0,1.0,15.9,16.8,15.5,16.5,450.0
2009-07-15,1.65,1.65,1.6001,1.6001,2400.0,0.0,1.0,16.5,16.5,16.000999999999998,16.000999999999998,240.0
2009-07-14,1.63,1.67,1.59,1.59,3800.0,0.0,1.0,16.299999999999994,16.7,15.9,15.9,380.0
2009-07-13,1.68,1.7,1.61,1.61,6100.0,0.0,1.0,16.8,17.0,16.1,16.1,610.0
2009-07-10,1.63,1.665,1.6299,1.64,21200.0,0.0,1.0,16.299999999999994,16.65,16.299,16.4,2120.0
2009-07-09,1.61,1.66,1.6,1.62,9500.0,0.0,1.0,16.1,16.599999999999998,16.0,16.200000000000006,950.0
2009-07-08,1.48,1.59,1.44,1.56,16500.0,0.0,1.0,14.8,15.9,14.4,15.6,1650.0
2009-07-07,1.605,1.71,1.47,1.47,17900.0,0.0,1.0,16.05,17.1,14.7,14.7,1790.0
2009-07-06,1.56,1.56,1.5,1.504,10100.0,0.0,1.0,15.6,15.6,15.0,15.04,1010.0
2009-07-02,1.56,1.62,1.55,1.55,10200.0,0.0,1.0,15.6,16.200000000000006,15.5,15.5,1020.0
2009-07-01,1.58,1.65,1.51,1.53,7900.0,0.0,1.0,15.8,16.5,15.1,15.3,790.0
2009-06-30,1.63,1.71,1.62,1.65,22100.0,0.0,1.0,16.299999999999994,17.1,16.200000000000006,16.5,2210.0
2009-06-29,1.55,1.59,1.55,1.59,2300.0,0.0,1.0,15.5,15.9,15.5,15.9,230.0
2009-06-26,1.52,1.58,1.51,1.55,7200.0,0.0,1.0,15.2,15.8,15.1,15.5,720.0
2009-06-25,1.56,1.6,1.51,1.53,33300.0,0.0,1.0,15.6,16.0,15.1,15.3,3330.0
2009-06-24,1.61,1.68,1.55,1.55,11300.0,0.0,1.0,16.1,16.8,15.5,15.5,1130.0
2009-06-23,1.68,1.74,1.59,1.64,8500.0,0.0,1.0,16.8,17.4,15.9,16.4,850.0
2009-06-22,1.64,1.65,1.6,1.64,25300.0,0.0,1.0,16.4,16.5,16.0,16.4,2530.0
2009-06-19,1.6499,1.72,1.59,1.72,13400.0,0.0,1.0,16.499000000000002,17.2,15.9,17.2,1340.0
